1000
95*35=;3325;32;4;23;3325
73+77=;98;2;150;63;150
79-88=;-9;94;45;12;-9
92-6=;95;27;86;92;86
47*4=;68;24;90;188;188
54+3=;27;3;69;57;57
79+83=;91;94;162;98;162
79-72=;52;7;0;81;7
10*69=;690;64;4;31;690
96+61=;9;19;157;33;157
62-26=;36;5;12;52;36
93*20=;5;91;23;1860;1860
47*74=;14;92;31;3478;3478
55-27=;68;8;28;51;28
62*92=;5704;27;8;76;5704
34+53=;53;87;100;93;87
63*31=;1953;56;97;64;1953
24*45=;76;91;1080;31;1080
0+65=;65;33;14;24;65
43*45=;33;33;33;1935;1935
82*51=;57;61;20;4182;4182
0-40=;75;-40;37;19;-40
52-26=;52;26;78;70;26
78-15=;69;78;63;94;63
18*2=;22;36;65;99;36
43*25=;7;93;1075;40;1075
95-40=;79;65;55;56;55
96-43=;10;53;52;57;53
59+44=;103;12;50;8;103
33-11=;63;22;16;93;22
42-96=;82;94;44;-54;-54
24+34=;58;53;5;4;58
60-20=;41;61;40;54;40
33+3=;75;92;36;45;36
64*5=;320;80;43;86;320
4-66=;71;-62;93;54;-62
91+86=;91;68;177;13;177
53*23=;44;74;35;1219;1219
7+74=;90;81;77;31;81
37+11=;52;37;0;48;48
37*93=;68;82;89;3441;3441
67+38=;66;3;105;56;105
61-76=;33;30;57;-15;-15
2+63=;48;99;65;27;65
40*69=;2760;94;60;79;2760
1-35=;47;-34;33;48;-34
8+49=;57;87;38;18;57
88*54=;24;93;4752;79;4752
27-99=;65;-72;59;8;-72
83-28=;68;34;55;6;55
61-5=;56;96;72;88;56
20*26=;72;520;2;37;520
25*46=;1150;34;95;29;1150
42*68=;67;30;2856;39;2856
42*3=;75;4;28;126;126
39-13=;26;56;89;79;26
35+2=;37;34;20;95;37
24*63=;77;1512;1;23;1512
79-25=;52;28;78;54;54
10*20=;200;84;21;54;200
86*100=;8600;36;90;15;8600
25*67=;71;22;22;1675;1675
93+82=;94;175;67;86;175
32+68=;100;60;22;57;100
97+88=;185;23;26;66;185
69-17=;99;46;97;52;52
66-96=;88;76;55;-30;-30
57*11=;73;7;627;24;627
87+2=;15;73;89;89;89
100*82=;55;53;8200;17;8200
54+40=;60;21;94;95;94
64-22=;23;72;59;42;42
2*59=;17;13;118;61;118
86-84=;71;68;2;71;2
86+75=;161;7;1;41;161
14-42=;77;0;-28;26;-28
97+15=;88;3;41;112;112
51*66=;57;100;93;3366;3366
19*70=;85;20;1330;18;1330
52+50=;102;70;86;2;102
3-39=;96;-36;29;10;-36
31*61=;12;3;2;1891;1891
67-64=;26;89;75;3;3
22*18=;396;81;53;4;396
59*85=;5015;86;81;75;5015
21-64=;-43;100;52;45;-43
22-47=;54;77;-25;3;-25
9*24=;216;9;95;23;216
16+31=;42;15;47;99;47
77*83=;9;6391;25;94;6391
28+28=;56;64;97;79;56
93-22=;16;58;71;14;71
59-95=;82;76;37;-36;-36
48+38=;1;86;89;79;86
17-87=;-70;11;15;15;-70
72-40=;97;32;83;88;32
63+30=;93;28;70;35;93
22*22=;484;94;49;46;484
77-100=;30;80;-23;40;-23
21*43=;33;34;66;903;903
8+14=;22;15;41;19;22
24-39=;-15;46;99;91;-15
100-61=;39;34;83;41;39
5*83=;86;50;415;76;415
96-66=;37;51;40;30;30
54*20=;88;1080;61;96;1080
30*72=;81;57;53;2160;2160
31-65=;68;46;25;-34;-34
89-38=;51;68;69;99;51
54-37=;0;17;5;92;17
58*79=;24;72;4582;58;4582
17-43=;10;78;17;-26;-26
23-96=;14;2;76;-73;-73
2+24=;7;23;13;26;26
5+72=;67;72;77;93;77
50+55=;40;105;68;43;105
42-1=;69;41;85;22;41
30+46=;76;93;27;25;76
21*63=;1323;77;24;85;1323
75*61=;7;4575;68;93;4575
53-74=;94;-21;1;18;-21
34+78=;112;22;48;24;112
62+89=;28;14;0;151;151
5-22=;-17;92;74;56;-17
36*15=;25;540;15;63;540
44*74=;3256;28;100;78;3256
50+75=;71;125;52;69;125
38*56=;2;57;2128;4;2128
24+59=;84;61;83;21;83
86-54=;52;32;29;72;32
0+87=;87;51;35;54;87
30-9=;83;60;21;60;21
86-38=;63;52;98;48;48
70*22=;33;1540;23;46;1540
89-88=;72;73;1;87;1
37+41=;12;78;54;81;78
9-35=;77;12;-26;8;-26
67+62=;72;129;48;6;129
92-64=;28;68;42;13;28
32+21=;38;25;71;53;53
64-53=;11;97;61;46;11
17-11=;20;87;58;6;6
3*9=;68;9;22;27;27
55*67=;88;92;3685;60;3685
45-36=;9;98;83;73;9
57-6=;11;51;46;69;51
58-19=;41;26;33;39;39
97*37=;44;58;3589;39;3589
35+26=;61;36;83;29;61
95+56=;89;151;79;8;151
13-95=;71;-82;2;6;-82
34*39=;2;78;1326;21;1326
96+87=;95;183;64;91;183
36-100=;59;33;-64;67;-64
80-2=;78;71;21;95;78
25*34=;66;33;7;850;850
18-42=;24;-24;84;21;-24
85+48=;24;133;28;6;133
96*43=;4128;91;36;53;4128
32-32=;79;71;0;35;0
1-36=;27;62;27;-35;-35
97*68=;49;57;6596;92;6596
17+45=;74;62;99;49;62
10+77=;87;40;1;34;87
53+71=;124;9;92;81;124
44*37=;49;1628;40;23;1628
40+37=;66;47;66;77;77
25*35=;61;875;27;36;875
60-73=;45;9;81;-13;-13
61*99=;41;6039;2;59;6039
77+34=;13;29;35;111;111
3-72=;79;56;29;-69;-69
17+21=;85;10;38;4;38
78-31=;47;43;8;2;47
85-24=;61;58;49;37;61
83*85=;59;7055;53;55;7055
91+87=;8;43;60;178;178
76-39=;50;24;37;70;37
15+38=;75;35;7;53;53
9+26=;92;21;34;35;35
33*54=;32;38;74;1782;1782
1-46=;31;25;-45;61;-45
41+43=;24;5;84;11;84
92*70=;80;53;11;6440;6440
80*92=;18;7360;4;40;7360
57+19=;76;37;78;70;76
25+98=;69;85;123;9;123
31*54=;1674;30;9;95;1674
29*5=;72;64;72;145;145
38*88=;23;3344;86;37;3344
47*17=;49;91;8;799;799
54-90=;-36;94;100;39;-36
37-49=;95;-12;90;57;-12
37+21=;28;73;80;58;58
95+38=;71;47;68;133;133
74*88=;40;95;6512;87;6512
55*1=;70;55;31;54;55
87-5=;95;83;88;82;82
94+60=;48;46;58;154;154
44-70=;79;-26;14;69;-26
71*49=;8;80;66;3479;3479
16+77=;15;62;33;93;93
43-40=;83;0;3;25;3
52-79=;-27;15;82;28;-27
99+19=;79;85;62;118;118
93+56=;13;45;149;80;149
77+42=;119;10;5;65;119
49+25=;64;89;57;74;74
0+32=;71;12;32;50;32
39-73=;18;8;-34;47;-34
92+14=;18;23;106;5;106
20-92=;35;76;72;-72;-72
2-17=;42;-15;21;22;-15
34+28=;5;62;23;2;62
37-64=;60;50;54;-27;-27
41-55=;-14;51;1;20;-14
88*11=;75;968;15;99;968
31+97=;128;48;26;90;128
68*93=;83;6324;82;52;6324
54-31=;23;73;60;84;23
15*12=;13;29;180;20;180
59+32=;17;3;91;63;91
3-61=;-58;98;87;50;-58
71+23=;22;50;34;94;94
61+45=;62;106;79;66;106
46*32=;52;13;67;1472;1472
80-92=;87;31;84;-12;-12
27-76=;3;-49;80;55;-49
19-60=;90;62;40;-41;-41
3*1=;53;42;3;42;3
2+35=;37;85;51;82;37
59+97=;156;86;34;81;156
1+99=;100;49;28;2;100
91+73=;71;93;37;164;164
12*53=;27;96;74;636;636
57+22=;33;79;9;93;79
40*69=;22;2760;2;76;2760
94+24=;84;100;95;118;118
42+57=;84;99;56;42;99
36-20=;99;16;39;88;16
31+33=;59;73;79;64;64
51-4=;23;9;97;47;47
12*66=;43;97;87;792;792
5-16=;44;-11;73;19;-11
10-69=;-59;96;6;15;-59
42*75=;4;62;98;3150;3150
31+62=;93;63;66;49;93
54+63=;60;117;54;77;117
72+51=;84;123;96;10;123
39-78=;78;-39;39;2;-39
48*34=;80;5;78;1632;1632
74-17=;30;57;78;2;57
56-14=;42;47;1;34;42
54+19=;18;60;73;88;73
66*43=;1;20;2838;73;2838
75+61=;136;30;47;47;136
49+33=;82;83;14;47;82
83-29=;37;54;28;11;54
92+19=;95;98;86;111;111
58-79=;19;-21;49;66;-21
39*80=;41;3120;41;76;3120
79-43=;36;94;27;59;36
90-46=;44;76;80;99;44
15+32=;47;99;47;81;47
42-65=;-23;91;86;40;-23
93*96=;0;60;8928;59;8928
79+19=;83;35;23;98;98
99*77=;7623;79;53;23;7623
56+22=;3;4;78;69;78
63-59=;9;15;40;4;4
88+30=;62;0;118;13;118
